city,state,lat,lon
Atlanta,GA,33.749,-84.38798
Austin,TX,30.26715,-97.74306
Baltimore,MD,39.29038,-76.61219
Birmingham,AL,33.52066,-86.80249
Boston,MA,42.35843,-71.05977
Buffalo,NY,42.88645,-78.87837
Charlotte,NC,35.22709,-80.84313
Chicago,IL,41.85003,-87.65005
Cincinnati,OH,39.12711,-84.51439
Cleveland,OH,41.4995,-81.69541
Columbus,OH,39.96118,-82.99879
Dallas,TX,32.78306,-96.80667
Denver,CO,39.73915,-104.9847
Detroit,MI,42.33143,-83.04575
Hartford,CT,41.76371,-72.68509
Houston,TX,29.76328,-95.36327
Indianapolis,IN,39.76838,-86.15804
Jacksonville,FL,30.33218,-81.65565
Kansas City,MO,39.09973,-94.57857
Las Vegas,NV,36.17497,-115.13722
Los Angeles,CA,34.05223,-118.24368
Louisville,KY,38.25424,-85.75941
Memphis,TN,35.14953,-90.04898
Miami,FL,25.77427,-80.19366
Milwaukee,WI,43.0389,-87.90647
Minneapolis,MN,44.97997,-93.26384
Nashville,TN,36.16589,-86.78444
New Orleans,LA,29.95465,-90.07507
New York City,NY,40.71427,-74.00597
Oklahoma City,OK,35.46756,-97.51643
Orlando,FL,28.53834,-81.37924
Philadelphia,PA,39.95233,-75.16379
Phoenix,AZ,33.44838,-112.07404
Pittsburgh,PA,40.44062,-79.99589
Portland,OR,45.52345,-122.67621
Providence,RI,41.82399,-71.41283
Raleigh,NC,35.7721,-78.63861
Richmond,VA,37.55376,-77.46026
Riverside,CA,33.95335,-117.39616
Sacramento,CA,38.58157,-121.4944
St. Louis,MO,38.62727,-90.19789
Salt Lake City,UT,40.76078,-111.89105
San Antonio,TX,29.42412,-98.49363
San Diego,CA,32.71571,-117.16472
San Francisco,CA,37.77493,-122.41942
San Jose,CA,37.33939,-121.89496
Seattle,WA,47.60621,-122.33207
Tampa,FL,27.94752,-82.45843
Virginia Beach,VA,36.85293,-75.97799
Washington,DC,38.89511,-77.03637
